id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
73669,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (1991-11-25):  ""HILL PEOPLE PROTEST ATTROCITIES BY REBELS, URGE SECURITY"".",,,,Officials,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1991-11-25,1991-11-25,0,3,0,0,3,3,3
51419,1991,1,1991,1991,3,488,Government of Myanmar (Burma) - Civilians,955,Government of Myanmar (Burma) - Civilians,144,775.0,Government of Myanmar (Burma),1,,Civilians,-1,"Reuters,1991-12-18",,,,security officials,3,Bandarban District,Chittagong Division,Bandarban District,21.81318,92.36807,POINT (92.368070 21.813180),161105,Bangladesh,771,BGD,Asia,1,1,1991-12-16,1991-12-16,0,0,2,0,2,2,2
73670,1991,1,1991,1991,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (29 December 1991):  ""SOLDIERS KILL TRIBAL REBEL IN SOUTHEAST BANGLADESH"".",,,,defence sources,3,Khagrachhari District,Chittagong Division,Khagrachhari District,23.16952,91.95316,POINT (91.953160 23.169520),163264,Bangladesh,771,BGD,Asia,1,1,1991-12-28,1991-12-28,0,1,0,0,1,1,1
73885,1991,1,1991,1991,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1991-12-29):  ""TRIBAL REBELS KILL SEVEN FISHERMEN IN SOUTHEAST BANGLADESH"".",,,,military sources,2,Dighinala town,Chittagong Division,Khagrachari District,23.240847,92.064069,POINT (92.064069 23.240847),163265,Bangladesh,771,BGD,Asia,1,1,1991-12-29,1991-12-29,0,0,7,0,7,7,7
73886,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1992-01-02):  ""TRIBAL REBELS KILL NINE BANGLADESHIS"".",,,,military sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1992-01-02,1992-01-02,0,0,9,0,9,9,9
73447,1992,0,1992,1992,2,4591,Supporters of Awami League - Supporters of BNP,5201,Supporters of Awami League - Supporters of BNP,372,,Supporters of Awami League,374,,Supporters of BNP,-1,R 1/10/1992 BANGLADESH STUDENTS GO ON RAMPAGE.,,,,police,1,Dhaka city,Dhaka Division,Dhaka District,23.723056,90.408611,POINT (90.408611 23.723056),163981,Bangladesh,771,BGD,Asia,1,1,1992-01-09,1992-01-09,1,0,0,0,0,1,1
73887,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1992-01-11):  ""TRIBAL REBELS KILL SIX BANGLADESHIS"".",,,,military sources,1,Khiram town,Chittagong Division,Chittagong District,22.644167,91.905833,POINT (91.905833 22.644167),162544,Bangladesh,771,BGD,Asia,1,1,1992-01-10,1992-01-10,0,0,6,0,6,6,6
73598,1992,0,1992,1992,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters 2/12/1992 ONE REBEL DIES, THREE HELD IN BANGLADESH.",,,,military sources,3,Rangamati District,Chittagong Division,Rangamati District,22.633333,92.2,POINT (92.200000 22.633333),162545,Bangladesh,771,BGD,Asia,1,1,1992-02-12,1992-02-12,0,1,0,0,1,1,1
73888,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1992-02-27):  ""TRIBAL REBELS KILL SIX IN SOUTHEAST BANGLADESH"".",,,,security officials,2,Belaichhari town,Chittagong Division,Rangamati District,22.491247,92.338188,POINT (92.338188 22.491247),161825,Bangladesh,771,BGD,Asia,1,1,1992-02-26,1992-02-26,0,0,2,0,2,2,2
73889,1992,1,1992,1992,3,512,JSS/SB - Civilians,979,JSS/SB - Civilians,285,,JSS/SB,1,,Civilians,-1,"Reuters (1992-02-27):  ""TRIBAL REBELS KILL SIX IN SOUTHEAST BANGLADESH"".",,,,security officials,2,Belaichhari town,Chittagong Division,Rangamati District,22.491247,92.338188,POINT (92.338188 22.491247),161825,Bangladesh,771,BGD,Asia,1,1,1992-02-26,1992-02-26,0,0,4,0,4,4,4
50928,1992,1,1992,1992,3,488,Government of Myanmar (Burma) - Civilians,955,Government of Myanmar (Burma) - Civilians,144,775.0,Government of Myanmar (Burma),1,,Civilians,-1,R 15/3 1992,,,,refugees,5,Bangladesh border Bangladesh,,,21.267122,92.215,POINT (92.215000 21.267122),160385,Bangladesh,771,BGD,Asia,2,3,1992-03-07,1992-03-13,0,0,10,0,10,10,10
73604,1992,0,1992,1992,1,322,Bangladesh: Chittagong Hill Tracts,705,Government of Bangladesh - JSS/SB,143,771.0,Government of Bangladesh,285,,JSS/SB,-1,"Reuters (15 March 1992):  ""BANGLADESH SOLDIER DIES IN CLASH WITH REBELS"".",,,,defence sources,4,Chittagong Division,Chittagong Division,,22.916667,91.5,POINT (91.500000 22.916667),162544,Bangladesh,771,BGD,Asia,1,1,1992-03-14,1992-03-14,1,0,0,0,1,1,1
